opt0,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
"(50.0, [72.99474758171833, 10.926275341719904, 51.519803917910004, 76.3279875204486, 28.167202662724634])","(50.0, [65.05458998738159, 70.01549474913146, 43.26218047313882, 9.982417694874812, 42.39453658509432])","(50.0, [54.657995759268616, 56.844182687909885, 1.7440570111298404, 83.18972827734667, 36.667082993875574])","(50.0, [51.36089371379339, 3.6913215386070397, 33.27306056810493, 53.58442416268673, 16.51510560166296])","(50.0, [33.50562537698034, 1.4626408727877238, 93.27096065640416, 78.77136398968665, 9.723504480074707])","(50.0, [31.275375658323924, 93.07972375108703, 93.71348340526451, 46.30710706670581, 89.70469760146838])","(50.0, [27.30159832229192, 70.95624611492053, 20.60183561916854, 89.36529553670552, 72.79756259669765])","(50.0, [23.5413666774012, 40.912994221689935, 20.198679260850515, 32.385921207354365, 62.428861699349106])","(50.0, [6.306294334631579, 74.56815794721845, 52.96398268225382, 78.89565336911714, 49.52538393095646])","(50.0, [3.488680971098568, 9.231294151644676, 10.536099269032196, 43.49443256620987, 12.704454835561563])"
