opt0,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
"(67.7955180464771, [92.44304295189556, 50.74518287183152, 4.657830601037361, 35.021444996238216, 48.510917080742324])","(63.45733275716625, [37.49714278314913, 44.7487619483543, 51.00588791661753, 90.06048759698774, 7.116230620729668])","(60.42181723394967, [0.1760939265525563, 48.134328764096914, 95.46247525964752, 57.56729581191998, 31.381566108137804])","(58.99764211929578, [51.70733819068914, 83.18772768443456, 40.495147771941575, 18.366505254291397, 97.925695242826])","(52.55742965980715, [94.67412764753604, 46.022042143924516, 20.833517764241183, 24.833687212379008, 2.6390741549245034])","(49.869263279179584, [62.70884026831425, 7.296156583261826, 37.376144791049335, 97.49336690426752, 40.788552613251525])","(41.557648220036185, [96.16411316813686, 61.86095628372027, 48.09335542026161, 13.576125454035203, 59.07826594403546])","(38.46935948495138, [60.88842791310808, 39.69481611751584, 16.173958827414037, 81.715701813924, 84.2104128340925])","(35.459029600475816, [85.93029632571073, 77.70598653413656, 52.981670674500926, 46.5068076420895, 56.334424125778135])","(33.997653491052034, [57.46652841178431, 78.13929450526003, 55.93620855324737, 15.596786192410672, 6.254249955585012])"
